district_code,district_name,category,student_group,2021_2022_student_count,2021_2022_attendance_rate,2020_2021_student_count,2020_2021_attendance_rate,2019_2020_student_count,2019_2020_attendance_rate,reporting_period,date_update
150011,bridgeport school district,race/ethnicity,all other races,0.0015811619841484012,0.8236914600550964,0.0015722890109092667,0.8373253493013975,0.0016524178413914931,0.7829967120713954,Jun-22,2022-07-22
150011,bridgeport school district,race/ethnicity,black or african american,0.011054141305108293,0.7237308146399055,0.01167323802843021,0.6846307385229546,0.012416739779598934,0.7036167214654769,Jun-22,2022-07-22
150011,bridgeport school district,race/ethnicity,hispanic/latino of any race,0.020685036930426875,0.7225501770956315,0.01960120300266886,0.6972721224218232,0.01963033052291156,0.6899953029591366,Jun-22,2022-07-22
150011,bridgeport school district,race/ethnicity,white,0.003464163993083666,0.7548209366391183,0.003928706772130975,0.7628077178975388,0.004508740110082503,0.7256928135274778,Jun-22,2022-07-22
150011,bridgeport school district,high needs,students without high needs,0.007136217804563582,0.8209366391184569,0.007309128145585899,0.8310046573519632,0.0061100116849547356,0.7909816815406296,Jun-22,2022-07-22
150011,bridgeport school district,high needs,students with high needs,0.02764334902501674,0.7072018890200704,0.028236698031816675,0.6763140385894881,0.03209821656902975,0.6857679661813059,Jun-22,2022-07-22
170011,bristol school district,unknown,all students,0.014830140025786333,0.8260527351436444,0.015126226587004021,0.7455089820359286,0.015115688920538373,0.7566932832315638,Jun-22,2022-07-22
170011,bristol school district,homelessness,students experiencing homelessness,8.995232526760816e-05,0.6894923258559622,0.00011489804310490795,0.4441117764471061,0.00022819103523977763,0.489431658055425,Jun-22,2022-07-22
170011,bristol school district,students with disabilities,students with disabilities,0.002792519964418858,0.7406532861078317,0.002955097038452545,0.6101131071190955,0.003053038678380473,0.6683889149835602,Jun-22,2022-07-22
170011,bristol school district,free/reduced lunch,free meal eligible,0.007046265479295973,0.7520661157024793,0.007097473855655805,0.6204258150365938,0.007319817604544936,0.7031470173790515,Jun-22,2022-07-22
